ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-8649-193227,5/1/2016,1/30/2018,7/16/2020,Cystic fibrosis respiratory therapy,85663823.97,Paid,343-33-5214,CNT-CDP-6407-252
CLM-4306-241333,4/5/2018,11/29/2018,1/24/2021,Anxiety disorder cognitive behavioral therapy,29661078.65,Closed,440-42-6830,CNT-CDP-1423-688
CLM-6666-932315,6/22/2017,2/24/2022,8/7/2024,Parkinson's disease tremor assessment,51697556.91,Reopened,170-42-7020,CNT-CDP-3503-303
CLM-7808-653061,6/22/2016,2/20/2024,12/7/2022,IBS symptom management consultation,49142273.86,Approved,812-47-4366,CNT-CDP-2140-742
CLM-5517-663543,8/2/2011,10/13/2017,11/18/2019,Fibromyalgia pain management session,35754370.59,In Review,848-15-3861,CNT-CDP-6281-979
CLM-3484-973881,7/7/2019,2/7/2021,1/23/2024,Hepatitis C antiviral therapy follow-up,56442829.21,Closed,648-70-8389,CNT-CDP-4854-921
CLM-4089-813300,3/12/2010,7/28/2022,5/19/2014,Celiac disease nutritional consultation,70486616.22,Reopened,288-01-1542,CNT-CDP-6641-080
CLM-6991-160971,3/1/2017,4/2/2022,6/24/2022,Cirrhosis liver function tests,18202796.16,Approved,167-69-8830,CNT-CDP-9721-992
CLM-6524-859534,2/11/2017,8/20/2023,4/4/2018,Graves' disease thyroid function test,51665741.42,Submitted,195-16-8775,CNT-CDP-3520-881
CLM-4401-973355,8/23/2011,5/7/2020,9/30/2021,Hypertension medication adjustment,69709828.68,Paid,196-06-4246,CNT-CDP-1964-119
CLM-1531-228263,2/26/2019,3/22/2020,11/14/2021,Asthma inhaler refill and lung function test,13983330.77,In Review,356-06-2615,CNT-CDP-7526-443
CLM-8993-568542,3/26/2014,1/22/2020,11/28/2020,Fibromyalgia pain management session,42742824.63,Reopened,643-75-4490,CNT-CDP-9881-842
CLM-1055-035503,3/22/2010,3/10/2019,8/17/2013,Multiple sclerosis neurological exam,66159099.09,Closed,502-34-5495,CNT-CDP-9564-311
CLM-9814-225883,9/1/2010,5/23/2019,4/21/2021,IBS symptom management consultation,43715494.2,Submitted,550-04-8011,CNT-CDP-8927-296
CLM-2974-820499,3/22/2011,4/19/2012,10/29/2011,Colorectal cancer follow-up colonoscopy,22774345.99,In Appeal,439-08-4926,CNT-CDP-9435-295
CLM-5215-802624,11/4/2013,5/17/2017,3/19/2016,Celiac disease nutritional consultation,40357212.06,In Appeal,742-17-1797,CNT-CDP-9935-583
CLM-0216-231517,5/2/2011,9/28/2017,9/18/2016,Endometriosis pain management,16140118.83,Submitted,205-88-6671,CNT-CDP-3423-266
CLM-4959-285688,10/7/2015,11/3/2015,1/27/2019,Rheumatoid arthritis joint assessment,86198452.95,Partially Approved,318-72-1140,CNT-CDP-0693-669
CLM-8745-785516,4/28/2011,12/9/2012,10/8/2021,Breast cancer chemotherapy session,9400445.55,Submitted,892-67-6729,CNT-CDP-4884-670
CLM-5737-108507,8/16/2015,10/8/2016,2/24/2022,Ulcerative colitis colonoscopy,64883624.27,Approved,760-37-3870,CNT-CDP-5393-636
CLM-1813-365062,2/6/2020,6/23/2021,12/5/2023,Chronic fatigue syndrome assessment,50299055.6,In Appeal,174-14-9898,CNT-CDP-4972-406
CLM-4319-366164,11/24/2014,2/5/2024,7/23/2022,COPD exacerbation treatment,22611818.8,Submitted,105-16-0062,CNT-CDP-7072-546
CLM-7138-758612,9/19/2013,9/1/2014,9/7/2022,Endometriosis pain management,66161645.2,Paid,147-79-1604,CNT-CDP-0458-892
CLM-3857-187563,4/25/2011,7/19/2014,4/20/2021,Thyroid hormone level check for hypothyroidism,22702461.23,Denied,769-27-7643,CNT-CDP-8393-267
CLM-4797-075405,8/3/2021,8/31/2022,6/17/2022,Lupus flare-up management,38578785.15,In Appeal,172-15-5864,CNT-CDP-7409-650
CLM-9162-290511,2/5/2021,7/8/2022,6/6/2022,Thyroid hormone level check for hypothyroidism,45272505.44,Submitted,806-27-1364,CNT-CDP-0138-017
CLM-8379-065854,6/18/2010,9/15/2018,4/27/2016,Epilepsy medication level monitoring,57524494.54,Pending Additional Information,351-96-2375,CNT-CDP-6091-049
CLM-4798-720621,3/12/2013,1/1/2014,3/6/2020,Multiple sclerosis neurological exam,70794348.21,In Appeal,384-43-7868,CNT-CDP-3352-445
CLM-9755-903317,2/9/2015,8/5/2020,2/10/2022,Crohn's disease nutritional counseling,95985610.65,Partially Approved,715-87-9169,CNT-CDP-2968-518
CLM-2262-254303,3/30/2020,5/18/2021,6/26/2022,Obesity management and counseling,34255753.82,Paid,148-43-5997,CNT-CDP-6675-366
CLM-7561-392846,12/25/2021,2/11/2022,1/31/2024,Chronic bronchitis pulmonary function test,42485435.08,Partially Approved,452-13-2599,CNT-CDP-0006-619
CLM-1205-036368,5/6/2012,11/6/2012,11/24/2015,Chronic migraine Botox treatment,8464297.18,Approved,328-69-1877,CNT-CDP-2373-020
CLM-9345-441170,4/4/2015,6/29/2017,3/11/2021,Psoriasis phototherapy session,97290680.92,Approved,426-05-6847,CNT-CDP-7934-726
CLM-5110-708399,6/5/2017,11/7/2018,4/8/2022,Atrial fibrillation anticoagulation check,97706153.54,Partially Approved,267-51-7167,CNT-CDP-4517-168
CLM-1859-990719,12/7/2017,2/24/2020,12/23/2022,Multiple sclerosis neurological exam,51658168.19,Reopened,404-57-8848,CNT-CDP-2482-116
CLM-7946-395836,1/1/2016,3/17/2024,3/3/2019,Gout uric acid level monitoring,96780808.14,In Appeal,239-06-0621,CNT-CDP-7714-726
CLM-1430-293169,7/26/2020,8/12/2020,3/10/2023,Asthma inhaler refill and lung function test,4241902.17,Paid,721-44-7417,CNT-CDP-8729-673
CLM-9635-788092,5/12/2017,2/15/2023,12/20/2021,Asthma inhaler refill and lung function test,34014559.53,Pending Additional Information,266-90-7356,CNT-CDP-3626-233
CLM-9201-035065,7/5/2019,7/3/2021,8/19/2023,Breast cancer chemotherapy session,97408973.93,Closed,242-25-3029,CNT-CDP-7878-580
CLM-0645-579907,3/16/2012,2/1/2024,7/24/2023,Gout uric acid level monitoring,44821169.88,Closed,264-86-8496,CNT-CDP-4982-687
CLM-1153-364470,6/13/2019,10/16/2022,10/16/2019,Ulcerative colitis colonoscopy,58675622.43,Denied,570-20-4704,CNT-CDP-1871-181
CLM-8795-682174,2/9/2010,1/9/2013,3/13/2019,Alzheimer's disease cognitive assessment,13233648.01,Pending Additional Information,193-23-7237,CNT-CDP-2420-167
CLM-3792-742716,8/11/2019,12/11/2022,12/5/2023,HIV viral load testing,7386641.61,Closed,532-46-5996,CNT-CDP-9697-067
CLM-1509-987487,1/12/2012,9/14/2015,4/1/2021,Hemophilia factor replacement therapy,24611874.35,Paid,314-65-1473,CNT-CDP-7840-240
CLM-9961-315059,2/25/2012,1/24/2015,1/9/2021,IBS symptom management consultation,99605270.69,Pending Additional Information,805-51-4969,CNT-CDP-7719-845
CLM-6041-198202,10/20/2014,2/4/2021,1/1/2019,Atrial fibrillation anticoagulation check,97936107.03,Approved,421-04-9394,CNT-CDP-0934-058
CLM-6453-956085,9/23/2020,2/11/2023,2/11/2021,Cirrhosis liver function tests,20679002.2,Partially Approved,168-79-9083,CNT-CDP-2493-116
CLM-9478-502643,7/25/2020,8/13/2022,7/25/2023,Epilepsy medication level monitoring,72061198.38,Approved,281-33-6349,CNT-CDP-0592-659
CLM-6539-245488,7/14/2018,12/2/2021,11/6/2022,Parkinson's disease tremor assessment,57292593.83,Denied,144-69-1239,CNT-CDP-1796-630
CLM-5594-281183,10/3/2011,5/29/2012,9/10/2015,Rheumatoid arthritis joint assessment,45280678.19,Approved,540-16-2316,CNT-CDP-2695-550
CLM-7327-934495,4/5/2014,7/15/2019,1/7/2018,Cystic fibrosis respiratory therapy,13788232.05,Pending Additional Information,827-62-1731,CNT-CDP-4272-021
CLM-3200-149740,6/16/2011,11/7/2018,9/11/2017,Hemophilia factor replacement therapy,34956213.41,Reopened,530-18-4525,CNT-CDP-5346-601
CLM-4489-439417,6/11/2014,3/9/2016,12/6/2020,Atrial fibrillation anticoagulation check,31789152.51,Denied,611-60-3735,CNT-CDP-0766-102
CLM-6913-868798,2/5/2013,10/13/2014,10/26/2022,Gout uric acid level monitoring,3595612.41,Reopened,506-52-3453,CNT-CDP-3659-832
CLM-5837-534343,2/7/2012,5/3/2024,9/20/2021,Colorectal cancer follow-up colonoscopy,65084126.95,In Appeal,832-11-1012,CNT-CDP-7818-755
CLM-2680-321792,1/5/2018,9/21/2021,9/11/2019,Fibromyalgia pain management session,20566088.5,In Review,488-83-7241,CNT-CDP-0541-865
CLM-4158-021712,4/21/2014,2/21/2018,7/7/2022,COPD exacerbation treatment,91356388.19,Closed,687-14-9508,CNT-CDP-5662-622
CLM-2568-932447,11/11/2013,2/18/2014,9/27/2014,Sickle cell anemia pain management,26351157.59,Partially Approved,406-83-5724,CNT-CDP-1769-166
CLM-3316-505420,12/20/2017,8/30/2019,1/15/2023,Glaucoma intraocular pressure check,29908929.18,Paid,154-17-4756,CNT-CDP-8009-513
CLM-0525-340286,10/7/2010,9/16/2014,6/18/2015,Breast cancer chemotherapy session,70549005.25,Submitted,477-18-6040,CNT-CDP-9297-790
CLM-4525-840514,10/17/2019,11/17/2022,11/19/2019,Osteoporosis bone density scan,27874556.57,Approved,863-63-4452,CNT-CDP-5200-904
CLM-6907-071937,3/30/2017,1/13/2021,5/26/2024,Schizophrenia antipsychotic injection,7262024.28,In Review,750-65-1652,CNT-CDP-3189-415
CLM-7186-116483,1/23/2013,8/26/2014,9/13/2021,Bipolar disorder medication adjustment,13460753.08,In Review,271-55-5844,CNT-CDP-6016-002
CLM-4694-843028,11/8/2018,5/6/2019,5/12/2021,Chronic migraine Botox treatment,26053726.4,Pending Additional Information,479-70-0617,CNT-CDP-7980-782
CLM-5674-872858,6/3/2019,5/26/2022,7/19/2023,Psoriasis phototherapy session,98867213.76,Partially Approved,319-97-3741,CNT-CDP-6431-317
CLM-8060-819370,6/30/2013,5/1/2014,6/7/2014,Lupus flare-up management,39761368.74,Pending Additional Information,570-34-3725,CNT-CDP-1676-188
CLM-0175-768285,1/12/2011,2/27/2024,5/25/2015,Congestive heart failure fluid balance check,65604862.92,Denied,246-46-2805,CNT-CDP-1839-909
CLM-7805-732248,12/30/2010,2/13/2024,4/22/2016,Congestive heart failure fluid balance check,14837030.75,Closed,273-84-7605,CNT-CDP-2548-369
CLM-3505-672797,4/24/2016,10/12/2022,5/1/2017,Addison's disease hormone replacement,46507700.97,In Review,843-37-1464,CNT-CDP-3887-648
CLM-0768-918424,4/3/2016,11/3/2023,7/25/2020,Lupus flare-up management,19334027.56,Approved,706-50-6435,CNT-CDP-7904-696
CLM-7178-913896,12/27/2010,7/28/2012,8/15/2011,Chronic depression therapy session,52886087.9,Closed,335-55-0771,CNT-CDP-1754-791
CLM-1452-293071,2/7/2010,1/8/2017,1/1/2020,Graves' disease thyroid function test,95867880.38,Paid,476-05-8235,CNT-CDP-0277-107
CLM-8898-896539,2/20/2011,2/20/2016,7/10/2015,Polycystic kidney disease ultrasound,98291887.61,Partially Approved,375-52-5390,CNT-CDP-9213-941
CLM-2898-202690,2/19/2020,11/2/2023,8/17/2024,Crohn's disease nutritional counseling,37504664.36,Pending Additional Information,516-82-3078,CNT-CDP-0506-660
CLM-4614-006259,3/6/2011,4/11/2015,8/24/2016,Sickle cell anemia pain management,28588120.73,Pending Additional Information,575-47-6655,CNT-CDP-9941-051
CLM-6735-266844,10/24/2010,10/10/2018,12/30/2014,Graves' disease thyroid function test,99312452.02,Closed,136-34-4192,CNT-CDP-2875-651
CLM-3486-199693,4/25/2014,11/16/2023,9/21/2014,Chronic bronchitis pulmonary function test,62674054.14,Submitted,845-06-1204,CNT-CDP-3540-143
CLM-1046-776139,7/14/2018,11/16/2022,7/16/2024,Lupus flare-up management,39641630.13,In Review,360-35-9254,CNT-CDP-8322-326
CLM-8491-221977,8/10/2020,4/15/2021,11/27/2023,Parkinson's disease tremor assessment,26582837.8,Paid,700-99-1246,CNT-CDP-2586-316
CLM-7471-176747,9/27/2019,2/1/2020,5/16/2024,Osteoporosis bone density scan,88513338.39,Reopened,129-81-6928,CNT-CDP-9419-990
CLM-4570-822519,3/20/2020,4/2/2024,9/20/2021,Thyroid hormone level check for hypothyroidism,61354964.41,Denied,549-59-2938,CNT-CDP-5311-299
CLM-7669-191532,9/28/2018,6/16/2021,10/11/2023,IBS symptom management consultation,65915223.61,Closed,791-40-0153,CNT-CDP-0000-939
CLM-6559-309226,10/29/2016,9/27/2017,4/19/2018,Addison's disease hormone replacement,67183672.28,In Review,569-89-8759,CNT-CDP-6984-981
CLM-5367-422689,10/23/2014,6/22/2023,3/3/2021,Prostate cancer PSA level check,36123013.8,Pending Additional Information,390-09-2818,CNT-CDP-3959-709
CLM-5952-823710,5/1/2012,10/8/2016,9/7/2012,Hemophilia factor replacement therapy,43405918.01,Closed,145-41-8837,CNT-CDP-7683-513
CLM-0608-707261,11/23/2020,6/15/2024,8/13/2022,Bipolar disorder medication adjustment,66360560.88,In Review,866-84-4791,CNT-CDP-5417-947
CLM-8225-679796,9/11/2019,4/20/2024,8/25/2020,Osteoporosis bone density scan,87845660.55,Denied,686-08-9225,CNT-CDP-4724-585
CLM-9130-608822,3/12/2013,12/22/2020,6/18/2014,Chronic migraine Botox treatment,32018025.7,Reopened,196-70-3844,CNT-CDP-6539-835
CLM-5491-268026,9/25/2019,5/21/2023,10/5/2023,Chronic fatigue syndrome assessment,32788540.77,Reopened,554-50-9905,CNT-CDP-4771-397
CLM-1335-852137,12/16/2017,6/14/2019,4/29/2020,COPD exacerbation treatment,83467173.78,In Review,883-23-4231,CNT-CDP-1234-769
CLM-0181-305111,12/16/2015,11/10/2019,3/6/2017,Chronic kidney disease dialysis session,74608606.76,Paid,810-60-9067,CNT-CDP-2701-653
CLM-0797-848324,7/2/2011,4/30/2024,12/29/2015,Breast cancer chemotherapy session,12081374.77,Submitted,833-68-2941,CNT-CDP-8082-849
CLM-3026-296394,2/23/2015,6/12/2018,7/16/2018,Crohn's disease nutritional counseling,58739594.28,Approved,155-26-3040,CNT-CDP-7089-233
CLM-2321-898703,6/2/2011,7/17/2017,7/6/2015,Chronic bronchitis pulmonary function test,9679900.68,In Appeal,384-13-8704,CNT-CDP-4706-084
CLM-7849-027573,1/30/2015,5/4/2023,11/9/2018,Chronic depression therapy session,71611661.67,Paid,295-93-6910,CNT-CDP-3529-529
CLM-1357-211582,9/16/2010,8/18/2019,5/20/2024,IBS symptom management consultation,32260778.04,In Review,864-57-4496,CNT-CDP-4331-816
CLM-1056-061166,6/3/2012,7/13/2020,1/2/2023,Peripheral artery disease circulation check,92693157.26,In Review,194-54-4458,CNT-CDP-0903-216
CLM-0754-973750,5/3/2021,10/2/2021,3/10/2022,Epilepsy medication level monitoring,98511939.9,Pending Additional Information,855-68-6911,CNT-CDP-2950-279
CLM-7709-050910,12/24/2015,5/13/2016,7/29/2016,Chronic depression therapy session,77188613.13,Pending Additional Information,329-14-4278,CNT-CDP-5990-156
CLM-8370-244396,9/24/2012,3/21/2020,11/4/2018,Hepatitis C antiviral therapy follow-up,36360480.76,Denied,548-84-4083,CNT-CDP-2291-941
CLM-1941-957718,10/15/2020,11/21/2022,1/24/2024,Ulcerative colitis colonoscopy,66621257.57,Pending Additional Information,691-15-6623,CNT-CDP-4915-489
CLM-8382-481932,1/1/2021,5/23/2024,7/25/2022,Schizophrenia antipsychotic injection,97480287.69,Approved,426-74-7938,CNT-CDP-7316-520
CLM-4993-568794,11/30/2018,2/8/2020,7/10/2020,Cystic fibrosis respiratory therapy,30721187.64,Partially Approved,643-03-8363,CNT-CDP-0513-363
CLM-5281-769704,10/29/2012,5/10/2023,10/28/2021,Asthma inhaler refill and lung function test,64256627.08,Reopened,801-57-0457,CNT-CDP-9113-700
CLM-2754-826103,6/26/2020,11/26/2020,6/22/2021,Parkinson's disease tremor assessment,49246323.41,In Appeal,701-63-0516,CNT-CDP-5443-289
CLM-7624-758324,5/23/2015,1/10/2020,8/12/2021,Chronic fatigue syndrome assessment,51289634.63,Partially Approved,894-77-3273,CNT-CDP-1726-079
CLM-4761-304543,2/16/2019,3/28/2020,6/25/2024,Congestive heart failure fluid balance check,67799397.63,Pending Additional Information,538-22-4706,CNT-CDP-4343-248
CLM-2625-365490,9/24/2017,11/28/2017,10/23/2022,Sjogren's syndrome dry eye treatment,13926125.02,In Review,835-83-6338,CNT-CDP-0052-515
CLM-7949-083676,5/1/2021,8/5/2022,8/30/2023,Osteoarthritis joint injection,90940601.87,Reopened,826-88-9660,CNT-CDP-1814-699
CLM-3596-138858,2/22/2018,8/1/2019,7/7/2022,Hepatitis C antiviral therapy follow-up,95197053.08,Pending Additional Information,881-07-1074,CNT-CDP-2296-977
CLM-7006-851373,11/20/2017,8/8/2018,3/18/2023,Leukemia blood count monitoring,87252465.93,Denied,402-18-0776,CNT-CDP-8141-632
CLM-4247-538196,7/16/2017,11/27/2017,3/30/2018,Psoriasis phototherapy session,482820.92,Reopened,512-81-8385,CNT-CDP-7214-628
CLM-7681-997385,4/24/2016,9/14/2018,11/12/2017,Celiac disease nutritional consultation,64471429.19,Reopened,169-66-4297,CNT-CDP-5348-125
CLM-9753-205198,6/23/2021,8/3/2023,3/5/2022,Hypertension medication adjustment,10832761.67,Reopened,442-09-2325,CNT-CDP-7072-802
CLM-6717-691926,7/1/2019,6/26/2022,9/28/2023,Graves' disease thyroid function test,47264015.36,Reopened,234-20-9996,CNT-CDP-1585-636
CLM-2932-193597,3/6/2018,12/17/2022,12/28/2019,Osteoporosis bone density scan,47671055.63,In Appeal,422-26-6965,CNT-CDP-1981-863
CLM-8553-249339,5/30/2012,3/30/2014,3/12/2023,Routine diabetes management check-up,43550838.59,In Appeal,251-49-5605,CNT-CDP-8185-458
CLM-2644-215807,10/7/2017,6/25/2019,12/31/2020,Hypertension medication adjustment,65740345.71,In Review,591-57-1342,CNT-CDP-1820-045
CLM-4375-285411,8/13/2017,10/26/2018,9/24/2022,Osteoarthritis joint injection,89087026.35,Paid,111-59-5728,CNT-CDP-9840-855
CLM-2829-461682,7/6/2016,7/13/2016,9/9/2019,Fibromyalgia pain management session,34638508.25,Paid,495-08-4173,CNT-CDP-3793-082
CLM-7004-774387,12/25/2012,5/15/2017,1/17/2014,Sjogren's syndrome dry eye treatment,19998026.69,Approved,559-29-8347,CNT-CDP-7314-241
CLM-5244-804128,5/25/2020,9/14/2021,12/9/2020,Rheumatoid arthritis joint assessment,98219958.54,Partially Approved,178-81-6643,CNT-CDP-4379-909
CLM-5155-410291,6/5/2014,9/2/2019,11/28/2014,Sjogren's syndrome dry eye treatment,29622761.77,In Review,793-81-0397,CNT-CDP-2186-658
CLM-7009-449884,7/17/2018,3/19/2021,3/31/2023,Thyroid hormone level check for hypothyroidism,17078382.84,Submitted,124-63-1252,CNT-CDP-4539-202
CLM-2208-185658,4/2/2015,2/22/2016,3/1/2016,Diabetic retinopathy eye exam,32848833.29,In Appeal,353-44-0811,CNT-CDP-0987-596
CLM-0536-669587,2/7/2015,9/13/2019,5/29/2022,Graves' disease thyroid function test,7495120.11,Paid,426-48-1084,CNT-CDP-8823-311
CLM-8781-541247,10/6/2010,1/14/2017,4/12/2023,Sickle cell anemia pain management,97906158.73,Approved,260-61-2593,CNT-CDP-6819-140
CLM-1527-171160,1/30/2020,11/30/2022,3/1/2020,IBS symptom management consultation,86391569.76,In Appeal,251-95-2986,CNT-CDP-1664-571
CLM-7550-595179,4/8/2020,3/17/2024,5/4/2020,Bipolar disorder medication adjustment,53313836.07,Closed,833-50-5442,CNT-CDP-7866-739
CLM-9159-834890,11/27/2011,8/23/2017,1/11/2019,Osteoporosis bone density scan,77146765.82,Closed,671-11-4380,CNT-CDP-3538-331
CLM-4653-223745,12/17/2014,11/27/2015,11/6/2017,Ulcerative colitis colonoscopy,19895477.59,Reopened,213-04-0391,CNT-CDP-8595-947
CLM-9643-779471,2/10/2019,6/23/2021,12/6/2022,Hypertension medication adjustment,74839147.87,Paid,559-59-7476,CNT-CDP-0980-666
CLM-9359-729323,5/17/2012,1/29/2013,12/9/2017,Anxiety disorder cognitive behavioral therapy,23541209.1,Partially Approved,480-55-0028,CNT-CDP-2796-047
CLM-0875-645128,11/16/2017,9/28/2019,4/23/2019,Schizophrenia antipsychotic injection,80584503.4,In Review,394-95-0689,CNT-CDP-0939-154
CLM-3948-092884,11/30/2016,10/6/2019,1/12/2023,Schizophrenia antipsychotic injection,89892254.09,Paid,854-07-7414,CNT-CDP-5847-992
CLM-1347-102455,6/26/2012,9/20/2019,3/13/2014,Chronic fatigue syndrome assessment,31344820.76,In Review,871-19-3929,CNT-CDP-6058-304
CLM-4289-770051,7/17/2018,9/25/2022,7/5/2022,Chronic depression therapy session,94610899.2,Closed,537-52-6838,CNT-CDP-2559-978
CLM-1179-263383,9/7/2016,2/17/2017,1/1/2023,Alzheimer's disease cognitive assessment,93824539.28,In Review,835-43-9683,CNT-CDP-2758-078
CLM-5055-009849,11/4/2021,8/13/2023,8/12/2022,Schizophrenia antipsychotic injection,75769449.57,Paid,501-93-2027,CNT-CDP-6384-458
CLM-0703-091049,8/24/2020,11/3/2023,2/22/2024,Parkinson's disease tremor assessment,442146.56,In Review,625-38-5026,CNT-CDP-4887-066
CLM-3692-712281,4/5/2019,4/25/2019,7/23/2019,Lupus flare-up management,53302005.89,Submitted,517-44-3502,CNT-CDP-2779-510
CLM-3874-314385,9/24/2013,9/8/2018,4/23/2019,Hemophilia factor replacement therapy,10090431.0,Paid,384-47-2867,CNT-CDP-7038-625
CLM-6879-668929,1/9/2020,12/30/2023,9/2/2020,Cystic fibrosis respiratory therapy,56483542.33,In Appeal,573-58-1279,CNT-CDP-9424-824
CLM-5065-157170,11/1/2018,4/12/2020,2/21/2021,Psoriasis phototherapy session,1857495.21,Pending Additional Information,808-75-7648,CNT-CDP-1986-826
CLM-5718-328606,5/7/2020,9/6/2023,6/27/2024,Fibromyalgia pain management session,12322086.93,In Review,690-64-7217,CNT-CDP-4388-592
CLM-8793-706042,5/26/2014,5/19/2021,3/22/2019,Chronic kidney disease dialysis session,36892399.41,Partially Approved,187-94-3645,CNT-CDP-9084-081
CLM-2690-496055,5/15/2019,1/5/2020,4/15/2022,Chronic depression therapy session,31853198.79,Reopened,474-37-9110,CNT-CDP-8090-667
CLM-1458-727719,9/8/2018,6/26/2022,1/5/2020,Ulcerative colitis colonoscopy,46787285.3,Closed,478-04-6247,CNT-CDP-1668-340
CLM-6878-513494,10/5/2018,12/22/2020,12/20/2018,Diabetic retinopathy eye exam,51928352.48,In Review,442-29-3478,CNT-CDP-5357-954
CLM-0728-112184,1/11/2010,11/25/2013,7/7/2012,Chronic depression therapy session,59498957.01,Closed,183-38-2315,CNT-CDP-4368-704
CLM-0798-429057,12/22/2013,7/8/2020,10/11/2015,Hypertension medication adjustment,38533343.75,Paid,395-46-8061,CNT-CDP-6399-413
CLM-6925-339391,6/16/2019,6/16/2024,8/29/2023,Prostate cancer PSA level check,64130116.45,Pending Additional Information,309-23-0999,CNT-CDP-3951-998
CLM-6175-022006,7/28/2020,9/23/2023,7/24/2023,Glaucoma intraocular pressure check,42997756.99,In Review,851-89-3166,CNT-CDP-9515-836
CLM-4273-421881,7/12/2014,3/27/2020,9/29/2017,Osteoarthritis joint injection,45043585.17,Denied,663-31-8168,CNT-CDP-6744-919
CLM-5106-928080,9/10/2020,8/7/2022,7/16/2023,Thyroid hormone level check for hypothyroidism,16038414.44,Pending Additional Information,746-27-2906,CNT-CDP-4270-326
CLM-3806-064586,3/7/2018,7/9/2018,6/21/2024,Sleep apnea CPAP adjustment,21875460.61,Pending Additional Information,143-02-4084,CNT-CDP-6624-320
CLM-3549-280718,8/2/2021,4/3/2023,11/23/2021,IBS symptom management consultation,7618592.53,Partially Approved,790-77-4456,CNT-CDP-5455-241
CLM-2548-952588,9/7/2016,7/13/2021,11/10/2021,Diabetic retinopathy eye exam,50848351.56,Submitted,553-50-2224,CNT-CDP-3355-233
CLM-3392-104726,5/21/2010,5/14/2017,2/22/2012,IBS symptom management consultation,69869411.73,In Appeal,702-65-2723,CNT-CDP-3884-594
CLM-3697-755037,2/7/2012,1/31/2022,2/9/2014,Atrial fibrillation anticoagulation check,82570800.42,Pending Additional Information,668-64-4082,CNT-CDP-1303-878
CLM-2264-866010,9/1/2011,12/3/2019,4/12/2015,Hypertension medication adjustment,60705399.36,In Appeal,482-94-1921,CNT-CDP-8837-829
CLM-4712-793347,3/9/2019,8/1/2023,3/25/2020,Crohn's disease nutritional counseling,70986731.28,Reopened,420-98-1341,CNT-CDP-2290-256
CLM-9925-223778,6/4/2019,11/10/2021,7/14/2022,Chronic migraine Botox treatment,77570205.86,Approved,495-86-1677,CNT-CDP-9543-145
CLM-5665-200837,3/22/2017,9/1/2017,11/29/2020,Graves' disease thyroid function test,72019730.64,Submitted,413-53-5235,CNT-CDP-4117-855
CLM-5103-823162,11/28/2012,1/25/2023,9/2/2022,Fibromyalgia pain management session,19004903.15,Paid,879-49-2502,CNT-CDP-0320-619
CLM-5513-068339,6/17/2012,11/6/2016,1/23/2024,Alzheimer's disease cognitive assessment,82619508.06,Approved,289-88-1009,CNT-CDP-8163-364
CLM-9392-908253,6/17/2012,4/10/2014,3/29/2018,Multiple sclerosis neurological exam,14258752.48,Submitted,624-89-5286,CNT-CDP-6263-412
CLM-9990-880061,2/26/2018,5/4/2024,1/11/2024,Routine diabetes management check-up,7092455.59,Denied,268-12-3722,CNT-CDP-0640-430
CLM-9057-125803,8/13/2019,12/31/2019,5/13/2022,Obesity management and counseling,38471774.85,Paid,637-23-9480,CNT-CDP-8133-157
CLM-4181-580529,4/4/2011,7/16/2019,4/5/2017,Sleep apnea CPAP adjustment,46558563.63,In Review,324-77-2943,CNT-CDP-5664-951
CLM-2914-691497,12/20/2018,10/17/2021,2/17/2023,Sleep apnea CPAP adjustment,35284641.77,Partially Approved,505-72-8304,CNT-CDP-6640-999
CLM-2518-311618,10/26/2014,3/17/2021,5/14/2021,Chronic migraine Botox treatment,21661366.47,Partially Approved,361-12-6724,CNT-CDP-5520-624
CLM-8127-262572,10/30/2018,8/13/2020,5/5/2023,Asthma inhaler refill and lung function test,67323478.37,Denied,225-19-6163,CNT-CDP-8519-024
CLM-4515-234325,9/30/2021,1/27/2022,4/18/2022,Hemophilia factor replacement therapy,3549890.54,Pending Additional Information,692-16-4129,CNT-CDP-5965-792
CLM-9485-322663,2/12/2021,2/25/2021,2/18/2023,Alzheimer's disease cognitive assessment,52680642.88,Reopened,559-41-3913,CNT-CDP-0031-259
CLM-1729-770017,5/16/2020,3/28/2023,2/26/2021,HIV viral load testing,2443620.89,Paid,872-21-2000,CNT-CDP-1708-732
CLM-4740-899083,5/4/2021,1/21/2023,10/24/2022,Routine diabetes management check-up,67516001.01,In Review,145-19-3866,CNT-CDP-9576-379
CLM-4659-923212,1/17/2015,3/20/2017,10/24/2018,Alzheimer's disease cognitive assessment,92093576.51,Paid,400-10-9425,CNT-CDP-0648-936
CLM-5208-859815,7/3/2018,6/12/2024,1/24/2024,Breast cancer chemotherapy session,79223555.96,In Review,449-54-5831,CNT-CDP-4062-697
CLM-8566-320425,9/24/2010,7/16/2022,8/26/2023,Bipolar disorder medication adjustment,50776429.82,In Appeal,728-54-5349,CNT-CDP-3627-043
CLM-1489-064217,1/8/2021,2/14/2023,4/29/2021,Chronic bronchitis pulmonary function test,97064326.3,Partially Approved,451-01-0226,CNT-CDP-4766-809
