PremiumCode,ContractNumber,CustomerSSN,PremiumAmount,PremiumFrequency,PaymentMethod,Status
PREM1599,CNT-CDP-5503-729,536-21-0812,5699,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM7769,CNT-CDP-5615-634,395-52-7205,142,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM1489,CNT-CDP-3103-701,343-73-0877,9989,Annually,Credit or Debit Card,Suspended
PREM5815,CNT-CDP-2242-539,110-86-9732,2314,Semi-Annually,Phone Payments,Suspended
PREM4712,CNT-CDP-0059-008,845-85-8761,6043,Annually,In-Person Payments,Active
PREM6655,CNT-CDP-6171-071,681-30-3780,192,Semi-Annually,Electronic Funds Transfer (EFT),Lapsed
PREM7847,CNT-CDP-2425-737,176-29-9474,5144,Annually,Check,Cancelled
PREM7028,CNT-CDP-9564-311,707-14-3743,1603,Annually,Mobile Payment Apps,Suspended
PREM1878,CNT-CDP-6058-304,683-18-9050,3024,Querterly,Direct Debit/Automatic Withdrawal,Pending
PREM5925,CNT-CDP-1926-522,532-93-7617,1262,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM6873,CNT-CDP-4219-166,440-33-5693,7254,Monthly,Mobile Payment Apps,Pending
PREM1552,CNT-CDP-4697-553,748-18-5529,5540,Querterly,Electronic Funds Transfer (EFT),Overdue
PREM5291,CNT-CDP-3703-412,172-85-1067,1803,Semi-Annually,Mobile Payment Apps,Lapsed
PREM8911,CNT-CDP-6055-372,423-64-3992,3390,Annually,Check,Suspended
PREM0294,CNT-CDP-4427-989,819-29-9354,3970,Querterly,Credit or Debit Card,Pending
PREM1413,CNT-CDP-8082-849,331-86-5929,8752,Annually,Electronic Funds Transfer (EFT),Suspended
PREM3833,CNT-CDP-4982-687,674-10-7843,8711,Semi-Annually,Check,Expired
PREM5588,CNT-CDP-0272-472,691-17-3387,3138,Monthly,Online Payment Portals,Active
PREM4107,CNT-CDP-3189-415,398-74-8575,7347,Semi-Annually,Electronic Funds Transfer (EFT),Overdue
PREM7374,CNT-CDP-3311-950,335-18-2624,6488,Monthly,Credit or Debit Card,Overdue
PREM1126,CNT-CDP-4435-896,384-51-6805,5413,Semi-Annually,Phone Payments,Cancelled
PREM6061,CNT-CDP-9035-645,611-29-2776,6446,Querterly,Online Payment Portals,Suspended
PREM5238,CNT-CDP-0376-223,240-36-3667,15,Semi-Annually,In-Person Payments,Lapsed
PREM7086,CNT-CDP-4697-407,828-78-2030,7505,Annually,Phone Payments,Overdue
PREM3211,CNT-CDP-2962-572,522-29-3424,6527,Semi-Annually,Online Payment Portals,Lapsed
PREM7493,CNT-CDP-9461-087,410-82-3708,9880,Querterly,Online Payment Portals,Lapsed
PREM5983,CNT-CDP-3943-107,157-96-5213,5543,Querterly,Check,Overdue
PREM1513,CNT-CDP-8495-917,618-40-5613,4436,Semi-Annually,Check,Cancelled
PREM8069,CNT-CDP-3967-969,527-99-2794,130,Monthly,Online Payment Portals,Renewed
PREM5696,CNT-CDP-6984-981,728-14-0129,6554,Monthly,Check,Pending
PREM2197,CNT-CDP-6430-594,161-27-2102,3652,Querterly,Electronic Funds Transfer (EFT),Expired
PREM3601,CNT-CDP-6612-374,469-65-9333,6587,Querterly,Direct Debit/Automatic Withdrawal,Renewed
PREM4319,CNT-CDP-4716-686,350-82-8206,8304,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM6991,CNT-CDP-9721-992,320-72-8082,5038,Monthly,Online Payment Portals,Lapsed
PREM0865,CNT-CDP-3408-470,831-61-9528,8288,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM5811,CNT-CDP-7012-459,730-87-9665,2104,Semi-Annually,Electronic Funds Transfer (EFT),Cancelled
PREM1738,CNT-CDP-0152-682,399-02-7593,2690,Semi-Annually,In-Person Payments,Expired
PREM8695,CNT-CDP-8322-326,386-35-2129,9593,Annually,Online Payment Portals,Renewed
PREM3249,CNT-CDP-1668-340,747-56-5781,3651,Monthly,Mobile Payment Apps,Lapsed
PREM9908,CNT-CDP-4596-518,380-53-0116,5945,Querterly,Online Payment Portals,Renewed
PREM3126,CNT-CDP-5803-851,622-30-1101,2185,Monthly,Online Payment Portals,Cancelled
PREM3783,CNT-CDP-4173-398,675-06-9696,9167,Monthly,Online Payment Portals,Overdue
PREM0852,CNT-CDP-5664-951,417-63-0056,4721,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM2637,CNT-CDP-6907-674,339-35-4231,3155,Querterly,In-Person Payments,Active
PREM7156,CNT-CDP-4771-659,355-88-3336,1888,Semi-Annually,Check,Suspended
PREM2521,CNT-CDP-2401-771,882-39-8683,3578,Querterly,Credit or Debit Card,Expired
PREM1431,CNT-CDP-4427-989,819-29-9354,4748,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM1759,CNT-CDP-3311-950,335-18-2624,532,Annually,Phone Payments,Lapsed
PREM7396,CNT-CDP-4982-687,674-10-7843,920,Querterly,Check,Pending
PREM9726,CNT-CDP-0288-826,803-89-9048,3426,Monthly,Check,Expired
PREM4817,CNT-CDP-9084-081,168-52-1435,7351,Semi-Annually,Online Payment Portals,Active
PREM4467,CNT-CDP-5348-125,498-47-0662,3435,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM0106,CNT-CDP-9534-381,859-29-5605,6347,Annually,Check,Active
PREM5478,CNT-CDP-1708-875,653-48-2778,3411,Monthly,Phone Payments,Pending
PREM9978,CNT-CDP-0220-379,560-54-1044,628,Querterly,Check,Overdue
PREM3950,CNT-CDP-1299-479,576-22-8234,9858,Annually,Mobile Payment Apps,Cancelled
PREM6484,CNT-CDP-8017-864,863-73-9525,6252,Annually,Check,Suspended
PREM9116,CNT-CDP-0227-977,309-64-6753,5216,Semi-Annually,Phone Payments,Overdue
PREM5175,CNT-CDP-1211-129,527-94-7787,8239,Monthly,Electronic Funds Transfer (EFT),Suspended
PREM9660,CNT-CDP-2140-742,787-25-1617,7405,Querterly,In-Person Payments,Overdue
PREM1662,CNT-CDP-8743-030,112-96-8059,2779,Querterly,Direct Debit/Automatic Withdrawal,Active
PREM8789,CNT-CDP-9907-355,516-04-6814,4085,Annually,Mobile Payment Apps,Overdue
PREM7680,CNT-CDP-3374-099,438-17-9370,1357,Querterly,In-Person Payments,Cancelled
PREM9444,CNT-CDP-1824-562,191-15-6591,9141,Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM7290,CNT-CDP-6383-302,334-55-7345,2515,Semi-Annually,Online Payment Portals,Cancelled
PREM1166,CNT-CDP-9415-635,761-99-8936,7858,Semi-Annually,Electronic Funds Transfer (EFT),Suspended
PREM7944,CNT-CDP-6447-362,517-96-6739,6829,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM8023,CNT-CDP-6703-939,622-11-1615,9753,Annually,In-Person Payments,Lapsed
PREM7198,CNT-CDP-0155-591,691-17-3387,2680,Querterly,Mobile Payment Apps,Renewed
PREM5968,CNT-CDP-2327-965,556-44-4543,5557,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM2864,CNT-CDP-0987-596,463-31-3614,593,Semi-Annually,In-Person Payments,Cancelled
PREM1359,CNT-CDP-1908-264,111-33-2433,1695,Querterly,Direct Debit/Automatic Withdrawal,Suspended
PREM0760,CNT-CDP-0377-990,683-18-2016,9021,Annually,Credit or Debit Card,Lapsed
PREM3395,CNT-CDP-4581-349,541-57-2145,6582,Monthly,Electronic Funds Transfer (EFT),Active
PREM0209,CNT-CDP-5655-546,234-43-4033,2486,Semi-Annually,Direct Debit/Automatic Withdrawal,Expired
PREM6063,CNT-CDP-7848-670,122-55-4301,2282,Semi-Annually,Mobile Payment Apps,Cancelled
PREM7719,CNT-CDP-0138-654,572-52-6215,1815,Annually,In-Person Payments,Suspended
PREM9315,CNT-CDP-6399-413,425-60-9329,3852,Querterly,Check,Cancelled
PREM1892,CNT-CDP-7741-528,601-93-8041,4243,Annually,Online Payment Portals,Suspended
PREM5171,CNT-CDP-7422-970,176-91-5939,4394,Annually,Online Payment Portals,Pending
PREM2803,CNT-CDP-4822-371,784-73-3876,7013,Querterly,Phone Payments,Suspended
PREM4362,CNT-CDP-2244-709,882-29-5174,3806,Annually,Check,Pending
PREM3985,CNT-CDP-4981-274,832-63-4875,807,Monthly,Check,Pending
PREM8903,CNT-CDP-8865-006,709-74-7875,5839,Querterly,In-Person Payments,Lapsed
PREM0759,CNT-CDP-9534-381,859-29-5605,6745,Annually,Mobile Payment Apps,Cancelled
PREM9255,CNT-CDP-4112-553,839-73-6465,4773,Annually,Mobile Payment Apps,Lapsed
PREM3386,CNT-CDP-1752-610,205-22-8990,1107,Querterly,Check,Overdue
PREM0059,CNT-CDP-7212-177,348-43-7882,6578,Annually,Credit or Debit Card,Renewed
PREM9131,CNT-CDP-1981-727,585-97-5767,6557,Querterly,Electronic Funds Transfer (EFT),Suspended
PREM2770,CNT-CDP-1794-354,417-63-0056,1848,Semi-Annually,Online Payment Portals,Lapsed
PREM3557,CNT-CDP-5075-745,671-48-6104,1027,Semi-Annually,Phone Payments,Lapsed
PREM0743,CNT-CDP-8822-651,332-50-8142,7853,Annually,Online Payment Portals,Pending
PREM0791,CNT-CDP-7486-471,320-72-8082,1334,Semi-Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM2568,CNT-CDP-1668-340,747-56-5781,4507,Semi-Annually,Online Payment Portals,Lapsed
PREM8465,CNT-CDP-6949-058,707-14-3743,9272,Monthly,Credit or Debit Card,Overdue
PREM5194,CNT-CDP-9907-355,516-04-6814,1241,Annually,Mobile Payment Apps,Cancelled
PREM2453,CNT-CDP-4996-479,320-72-8082,4445,Semi-Annually,Check,Expired
PREM9454,CNT-CDP-7552-534,706-92-3972,3486,Semi-Annually,Check,Active
PREM3455,CNT-CDP-1167-031,492-69-2793,3983,Semi-Annually,Mobile Payment Apps,Cancelled
PREM9495,CNT-CDP-7938-639,307-44-4074,2142,Annually,Online Payment Portals,Renewed
PREM5431,CNT-CDP-3750-460,436-44-7581,6982,Annually,Check,Suspended
PREM0441,CNT-CDP-9562-404,309-18-0710,4947,Semi-Annually,Check,Expired
PREM2370,CNT-CDP-4000-078,205-47-8030,2525,Semi-Annually,Direct Debit/Automatic Withdrawal,Expired
PREM3470,CNT-CDP-4111-207,233-98-7822,2607,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM5814,CNT-CDP-6567-876,202-51-5487,2112,Monthly,In-Person Payments,Pending
PREM6514,CNT-CDP-6639-838,446-41-6870,7107,Semi-Annually,Credit or Debit Card,Active
PREM3742,CNT-CDP-2794-924,527-94-7787,468,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM3481,CNT-CDP-0705-782,379-37-7126,160,Semi-Annually,Mobile Payment Apps,Suspended
PREM1129,CNT-CDP-5503-729,536-21-0812,4023,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM0514,CNT-CDP-6376-598,206-82-9014,9947,Monthly,Online Payment Portals,Expired
PREM7726,CNT-CDP-7858-277,600-97-2729,6852,Annually,Mobile Payment Apps,Pending
PREM1599,CNT-CDP-5391-438,688-16-5212,5015,Annually,Check,Lapsed
PREM8082,CNT-CDP-1975-973,569-98-8973,6859,Annually,Online Payment Portals,Suspended
PREM3649,CNT-CDP-4771-397,728-88-9032,8823,Semi-Annually,In-Person Payments,Overdue
PREM0288,CNT-CDP-3887-648,297-67-6147,3015,Annually,Credit or Debit Card,Lapsed
PREM0276,CNT-CDP-4580-607,532-85-3774,5792,Monthly,Electronic Funds Transfer (EFT),Active
PREM9990,CNT-CDP-6814-078,154-64-8431,3042,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM0986,CNT-CDP-5745-522,793-09-2729,4753,Querterly,Check,Pending
PREM8533,CNT-CDP-8383-950,749-97-9210,294,Annually,In-Person Payments,Active
PREM7729,CNT-CDP-7027-736,603-46-2641,3262,Querterly,Electronic Funds Transfer (EFT),Overdue
PREM0609,CNT-CDP-7146-925,117-05-3734,5787,Querterly,Check,Suspended
PREM1557,CNT-CDP-9229-908,862-15-0803,8504,Monthly,Direct Debit/Automatic Withdrawal,Lapsed
PREM8189,CNT-CDP-9033-520,630-51-1682,9490,Semi-Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM1830,CNT-CDP-0489-321,423-50-6409,75,Semi-Annually,Electronic Funds Transfer (EFT),Cancelled
PREM2747,CNT-CDP-8648-617,281-81-1398,5990,Semi-Annually,Credit or Debit Card,Cancelled
PREM0428,CNT-CDP-6371-507,379-37-7126,315,Querterly,Check,Suspended
PREM5858,CNT-CDP-0505-907,479-33-8552,3255,Semi-Annually,Phone Payments,Renewed
PREM1872,CNT-CDP-1754-791,436-44-7581,3495,Querterly,Credit or Debit Card,Pending
PREM9094,CNT-CDP-9677-708,550-28-8283,2573,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM8217,CNT-CDP-6938-214,678-24-3779,7155,Monthly,Mobile Payment Apps,Active
PREM5611,CNT-CDP-1323-668,146-24-4332,3138,Semi-Annually,Phone Payments,Renewed
PREM3372,CNT-CDP-3722-698,335-18-2624,8657,Monthly,Check,Suspended
PREM2557,CNT-CDP-6844-322,121-50-0345,7097,Annually,Electronic Funds Transfer (EFT),Overdue
PREM3259,CNT-CDP-9699-153,522-74-5310,4790,Semi-Annually,Credit or Debit Card,Overdue
PREM8221,CNT-CDP-5301-473,435-10-4849,7013,Monthly,Mobile Payment Apps,Cancelled
PREM4587,CNT-CDP-5921-425,532-71-6847,5063,Querterly,Phone Payments,Expired
PREM9038,CNT-CDP-6396-007,571-01-2642,6514,Querterly,Electronic Funds Transfer (EFT),Pending
PREM9579,CNT-CDP-1547-355,145-72-3021,3100,Semi-Annually,In-Person Payments,Cancelled
PREM8826,CNT-CDP-2988-949,762-49-1943,994,Monthly,Mobile Payment Apps,Expired
PREM8452,CNT-CDP-9534-381,859-29-5605,6331,Semi-Annually,In-Person Payments,Lapsed
PREM1419,CNT-CDP-3791-760,587-46-8092,1783,Semi-Annually,Online Payment Portals,Renewed
PREM4983,CNT-CDP-4854-921,176-86-3412,7690,Semi-Annually,Phone Payments,Expired
PREM9416,CNT-CDP-8553-322,836-04-2999,3842,Semi-Annually,Check,Expired
PREM0369,CNT-CDP-7652-991,176-91-5939,4671,Querterly,Electronic Funds Transfer (EFT),Overdue
PREM4221,CNT-CDP-4874-503,102-21-1414,6165,Querterly,Credit or Debit Card,Lapsed
PREM7881,CNT-CDP-4667-329,463-31-3614,3507,Semi-Annually,In-Person Payments,Cancelled
PREM1429,CNT-CDP-0934-058,168-79-9741,9577,Annually,Online Payment Portals,Active
PREM6189,CNT-CDP-5374-530,734-17-0352,6583,Semi-Annually,Phone Payments,Renewed
PREM0306,CNT-CDP-2283-636,469-18-8371,6907,Semi-Annually,Online Payment Portals,Overdue
PREM5093,CNT-CDP-9783-931,101-47-5339,1762,Annually,Phone Payments,Suspended
PREM4289,CNT-CDP-7225-678,255-68-1656,9868,Semi-Annually,In-Person Payments,Active
PREM1750,CNT-CDP-0034-578,192-60-6314,5056,Semi-Annually,In-Person Payments,Suspended
PREM6497,CNT-CDP-1167-031,492-69-2793,3433,Annually,Phone Payments,Pending
PREM7658,CNT-CDP-5005-153,497-94-2225,3011,Monthly,Phone Payments,Suspended
PREM0099,CNT-CDP-5160-021,546-67-4067,5945,Monthly,Credit or Debit Card,Renewed
PREM0424,CNT-CDP-3943-107,157-96-5213,6083,Semi-Annually,Electronic Funds Transfer (EFT),Overdue
PREM5006,CNT-CDP-4972-406,638-53-8878,1373,Semi-Annually,Check,Expired
PREM9369,CNT-CDP-2265-515,879-28-4768,3983,Semi-Annually,Phone Payments,Cancelled
