InvoiceNumber,InvoiceDate,NoOutstandingInvoices,DueDate,PaidDate,InvoiceStatus,BillingPeriod,BAcctNumber,CustomerSSN,ContractNumber
INVC-60038,3/5/2019,5,1/14/2022,6/23/2020,Paid,Bi-Weekly,BILL817494315,281-62-2599,CNT-CDP-1234-769
INVC-61399,6/11/2021,5,11/7/2022,8/3/2021,Paid,Bi-Weekly,BILL023857864,838-38-5879,CNT-CDP-2701-653
INVC-54902,5/31/2021,3,4/21/2022,,Unpaid,Weekly,BILL293948571,851-58-1872,CNT-CDP-8082-849
INVC-51795,1/30/2019,1,6/3/2022,4/4/2019,Paid,Daily,BILL946125322,583-19-2261,CNT-CDP-7089-233
INVC-71467,4/15/2020,5,6/6/2022,9/21/2020,Paid,Daily,BILL059872949,888-60-2700,CNT-CDP-4706-084
INVC-96498,7/9/2021,5,3/15/2022,8/27/2021,Paid,Monthly,BILL852709119,514-30-6796,CNT-CDP-3529-529
INVC-48461,8/26/2021,3,10/27/2022,10/31/2021,Paid,Annually,BILL924625793,617-38-0166,CNT-CDP-4331-816
INVC-05003,3/11/2019,2,11/25/2022,11/24/2019,Paid,Semi-Annually,BILL990702031,153-73-4832,CNT-CDP-0903-216
INVC-33557,5/20/2020,3,11/25/2022,,Unpaid,Annually,BILL394756988,417-81-9390,CNT-CDP-2950-279
INVC-17280,10/23/2019,5,11/16/2022,2/20/2020,Paid,Annually,BILL157983341,213-89-8076,CNT-CDP-5990-156
INVC-87695,12/8/2020,2,10/7/2022,4/26/2021,Paid,Semi-Annually,BILL427427431,532-93-7617,CNT-CDP-2291-941
INVC-19251,11/21/2019,5,6/18/2022,1/12/2021,Paid,Weekly,BILL604631460,122-82-0920,CNT-CDP-4915-489
INVC-81940,10/20/2021,3,1/27/2022,,Unpaid,Bi-Weekly,BILL097463587,374-47-3978,CNT-CDP-7316-520
INVC-21100,4/8/2019,3,9/9/2022,11/3/2020,Paid,Bi-Weekly,BILL144906623,571-27-8259,CNT-CDP-0513-363
INVC-54901,2/20/2019,4,12/4/2022,8/10/2021,Paid,Daily,BILL853540985,255-98-5864,CNT-CDP-9113-700
INVC-92013,8/29/2020,1,7/17/2022,,Unpaid,Monthly,BILL979776016,565-71-6887,CNT-CDP-5443-289
INVC-56213,4/5/2020,4,4/21/2022,4/29/2020,Paid,Monthly,BILL735078611,769-30-2685,CNT-CDP-1726-079
INVC-52404,2/22/2020,4,3/14/2022,5/17/2021,Paid,Monthly,BILL956422068,364-43-2698,CNT-CDP-4343-248
INVC-18505,5/6/2021,5,11/13/2022,6/3/2021,Paid,Quarterly,BILL841748653,430-57-8881,CNT-CDP-0052-515
INVC-20782,7/20/2021,1,6/12/2022,11/24/2021,Paid,Annually,BILL817737284,369-01-4000,CNT-CDP-1814-699
INVC-59116,7/13/2021,5,5/30/2022,8/30/2021,Paid,Annually,BILL743715196,130-36-6508,CNT-CDP-2296-977
INVC-76614,2/7/2019,4,8/6/2022,,Unpaid,Monthly,BILL383600322,194-98-7811,CNT-CDP-8141-632
INVC-95400,2/9/2020,2,1/20/2022,7/21/2020,Paid,Monthly,BILL598724655,202-51-5487,CNT-CDP-7214-628
INVC-04383,12/1/2020,3,11/24/2022,12/23/2020,Paid,Bi-Weekly,BILL452915889,410-01-6579,CNT-CDP-5348-125
INVC-02980,1/12/2021,3,10/11/2022,,Unpaid,Annually,BILL344255455,585-54-3079,CNT-CDP-7072-802
INVC-52412,4/12/2020,2,7/19/2022,,Unpaid,Semi-Annually,BILL849287608,569-27-5695,CNT-CDP-1585-636
INVC-94374,8/13/2019,1,5/21/2022,2/26/2021,Paid,Quarterly,BILL017173828,603-33-7368,CNT-CDP-1981-863
INVC-84712,3/24/2021,5,10/11/2022,,Unpaid,Weekly,BILL293715485,817-61-5153,CNT-CDP-8185-458
INVC-20535,5/17/2020,5,12/26/2022,,Unpaid,Weekly,BILL600841210,602-23-5126,CNT-CDP-1820-045
INVC-20830,12/19/2019,4,5/19/2022,,Unpaid,Weekly,BILL267257068,242-74-5241,CNT-CDP-9840-855
INVC-84584,2/26/2021,2,8/26/2022,,Unpaid,Quarterly,BILL368002175,744-02-7121,CNT-CDP-3793-082
INVC-67932,10/22/2021,2,5/14/2022,10/26/2021,Paid,Weekly,BILL884457432,681-30-3780,CNT-CDP-7314-241
INVC-02223,5/25/2020,2,7/12/2022,7/15/2020,Paid,Semi-Annually,BILL745018822,803-27-2767,CNT-CDP-4379-909
INVC-92949,11/26/2021,3,4/15/2022,,Unpaid,Daily,BILL756122717,544-47-2185,CNT-CDP-2186-658
INVC-09239,2/6/2019,4,5/1/2022,8/8/2021,Paid,Quarterly,BILL144483136,548-80-0057,CNT-CDP-4539-202
INVC-53094,6/15/2020,4,3/21/2022,3/3/2021,Paid,Bi-Weekly,BILL354106024,100-34-4346,CNT-CDP-0987-596
INVC-90982,4/1/2020,5,7/15/2022,9/19/2021,Paid,Bi-Weekly,BILL717796003,172-93-6292,CNT-CDP-8823-311
INVC-92098,5/16/2021,1,3/6/2022,11/9/2021,Paid,Monthly,BILL435206167,467-79-0687,CNT-CDP-6819-140
INVC-98633,10/17/2019,3,10/15/2022,,Unpaid,Quarterly,BILL234715293,641-01-2782,CNT-CDP-1664-571
INVC-70196,12/14/2021,2,1/13/2022,12/20/2021,Paid,Daily,BILL437173659,403-12-4245,CNT-CDP-7866-739
INVC-52802,4/25/2021,4,6/26/2022,,Unpaid,Daily,BILL596462344,209-15-2542,CNT-CDP-3538-331
INVC-57294,11/20/2019,4,4/10/2022,4/20/2020,Paid,Daily,BILL898163573,837-70-0390,CNT-CDP-8595-947
INVC-29573,3/8/2019,4,9/10/2022,12/8/2019,Paid,Monthly,BILL377460540,611-95-8350,CNT-CDP-0980-666
INVC-36953,5/4/2019,3,1/9/2022,11/8/2019,Paid,Daily,BILL384271286,541-57-2145,CNT-CDP-2796-047
INVC-52438,6/19/2020,1,4/13/2022,6/8/2021,Paid,Bi-Weekly,BILL286345959,869-20-0883,CNT-CDP-0939-154
INVC-48381,6/16/2019,4,2/12/2022,,Unpaid,Annually,BILL919767731,462-50-5376,CNT-CDP-5847-992
INVC-00317,11/21/2019,2,9/6/2022,,Unpaid,Bi-Weekly,BILL252640729,803-46-9263,CNT-CDP-6058-304
INVC-94157,2/2/2020,1,4/19/2022,,Unpaid,Daily,BILL801487373,156-98-1579,CNT-CDP-2559-978
INVC-93281,2/19/2020,5,6/8/2022,8/12/2020,Paid,Weekly,BILL571477851,809-02-4761,CNT-CDP-2758-078
INVC-30134,2/23/2019,4,5/25/2022,9/18/2019,Paid,Monthly,BILL187134589,682-28-5156,CNT-CDP-6384-458
INVC-52281,9/12/2021,4,2/10/2022,11/21/2021,Paid,Semi-Annually,BILL385685777,527-94-7787,CNT-CDP-4887-066
INVC-88505,6/21/2020,1,9/15/2022,8/16/2020,Paid,Semi-Annually,BILL402703484,531-54-0436,CNT-CDP-2779-510
INVC-69170,9/2/2019,4,1/19/2022,,Unpaid,Weekly,BILL085741208,671-27-4240,CNT-CDP-7038-625
INVC-83058,2/5/2019,1,2/6/2022,3/8/2021,Paid,Quarterly,BILL583983751,423-96-6886,CNT-CDP-9424-824
INVC-96783,3/17/2020,3,2/21/2022,,Unpaid,Bi-Weekly,BILL943428122,334-55-7345,CNT-CDP-1986-826
INVC-23946,10/20/2019,5,5/11/2022,3/31/2021,Paid,Semi-Annually,BILL399797497,236-74-4042,CNT-CDP-4388-592
INVC-75310,6/6/2019,3,8/30/2022,,Unpaid,Quarterly,BILL341269159,875-38-2089,CNT-CDP-9084-081
INVC-92342,5/29/2019,2,3/7/2022,,Unpaid,Weekly,BILL824823700,247-30-6618,CNT-CDP-8090-667
INVC-93557,8/2/2021,1,7/31/2022,9/9/2021,Paid,Bi-Weekly,BILL964837465,303-70-8538,CNT-CDP-1668-340
INVC-00977,10/13/2021,3,8/28/2022,12/24/2021,Paid,Monthly,BILL102042999,628-47-6894,CNT-CDP-5357-954
INVC-60850,2/26/2019,1,6/28/2022,4/13/2021,Paid,Daily,BILL156455088,442-51-5768,CNT-CDP-4368-704
INVC-19827,11/16/2021,2,5/9/2022,12/14/2021,Paid,Annually,BILL372678471,312-79-1518,CNT-CDP-6399-413
INVC-54647,9/10/2020,4,3/16/2022,,Unpaid,Daily,BILL173623955,268-43-0664,CNT-CDP-3951-998
INVC-92848,5/17/2020,1,12/19/2022,,Unpaid,Semi-Annually,BILL687342910,369-66-1449,CNT-CDP-9515-836
INVC-89486,11/12/2020,3,7/20/2022,3/24/2021,Paid,Bi-Weekly,BILL671341859,707-70-2974,CNT-CDP-6744-919
INVC-21942,1/24/2020,4,7/23/2022,,Unpaid,Annually,BILL996145036,716-28-1154,CNT-CDP-4270-326
INVC-98212,12/20/2021,4,1/10/2022,,Unpaid,Quarterly,BILL720070171,389-75-6577,CNT-CDP-6624-320
INVC-57702,9/9/2019,3,10/25/2022,6/25/2020,Paid,Semi-Annually,BILL365497152,419-12-1209,CNT-CDP-5455-241
INVC-34313,11/25/2020,3,4/25/2022,7/7/2021,Paid,Monthly,BILL159309134,397-44-8595,CNT-CDP-3355-233
INVC-29707,3/6/2021,2,8/18/2022,,Unpaid,Bi-Weekly,BILL131392237,688-54-3391,CNT-CDP-3884-594
INVC-61201,11/26/2021,3,11/12/2022,11/27/2021,Paid,Weekly,BILL235621596,683-18-2016,CNT-CDP-1303-878
INVC-48667,2/14/2019,4,2/19/2022,2/23/2019,Paid,Bi-Weekly,BILL238285625,397-81-5979,CNT-CDP-8837-829
INVC-45247,4/2/2021,4,11/16/2022,10/26/2021,Paid,Bi-Weekly,BILL564455039,496-56-3677,CNT-CDP-2290-256
INVC-51188,9/25/2020,5,2/7/2022,1/31/2021,Paid,Daily,BILL639232299,794-04-1916,CNT-CDP-9543-145
INVC-91240,2/3/2019,5,7/10/2022,10/4/2019,Paid,Bi-Weekly,BILL388261981,804-60-1290,CNT-CDP-4117-855
INVC-06886,9/22/2021,3,6/13/2022,12/3/2021,Paid,Bi-Weekly,BILL087181269,885-28-7203,CNT-CDP-0320-619
INVC-69741,12/21/2019,5,1/15/2022,10/23/2021,Paid,Quarterly,BILL315425883,360-60-1633,CNT-CDP-8163-364
INVC-41385,5/31/2019,5,11/3/2022,1/31/2021,Paid,Semi-Annually,BILL968244996,441-45-4434,CNT-CDP-6263-412
INVC-25740,4/30/2020,2,9/20/2022,12/27/2021,Paid,Weekly,BILL050786242,379-80-0956,CNT-CDP-0640-430
INVC-15394,7/31/2020,5,8/22/2022,9/14/2021,Paid,Weekly,BILL146333180,182-98-0168,CNT-CDP-8133-157
INVC-50845,3/26/2021,3,12/16/2022,11/3/2021,Paid,Semi-Annually,BILL218764161,371-43-5754,CNT-CDP-5664-951
INVC-28796,12/2/2021,3,10/31/2022,12/23/2021,Paid,Annually,BILL951469212,474-55-9702,CNT-CDP-6640-999
INVC-95324,9/6/2019,1,4/11/2022,10/28/2020,Paid,Quarterly,BILL857056869,767-53-8839,CNT-CDP-5520-624
INVC-69437,4/19/2021,4,10/9/2022,9/8/2021,Paid,Monthly,BILL955625894,364-35-6771,CNT-CDP-8519-024
INVC-25470,11/26/2020,2,9/22/2022,10/9/2021,Paid,Quarterly,BILL601182239,339-38-9116,CNT-CDP-5965-792
INVC-71660,10/9/2019,1,3/31/2022,7/29/2021,Paid,Weekly,BILL911913710,658-45-2934,CNT-CDP-0031-259
INVC-22319,10/10/2019,5,3/10/2022,,Unpaid,Daily,BILL364285054,176-91-5939,CNT-CDP-1708-732
INVC-22914,11/25/2020,1,9/22/2022,5/31/2021,Paid,Weekly,BILL261411264,674-90-5210,CNT-CDP-9576-379
INVC-04852,9/14/2019,2,3/10/2022,3/25/2020,Paid,Weekly,BILL383767157,648-86-4577,CNT-CDP-0648-936
INVC-98101,3/11/2019,4,12/12/2022,12/24/2021,Paid,Semi-Annually,BILL082246139,556-44-4543,CNT-CDP-4062-697
INVC-02123,2/15/2019,1,6/3/2022,10/14/2019,Paid,Semi-Annually,BILL166098086,307-44-4074,CNT-CDP-3627-043
INVC-04752,12/16/2021,5,6/26/2022,12/21/2021,Paid,Daily,BILL242006076,839-18-6285,CNT-CDP-4766-809
INVC-79344,8/24/2020,3,7/23/2022,4/3/2021,Paid,Monthly,BILL028265300,335-04-6424,CNT-CDP-8132-693
INVC-13303,5/18/2021,5,10/20/2022,6/9/2021,Paid,Annually,BILL425533254,743-98-5810,CNT-CDP-1981-727
INVC-37192,5/9/2020,1,11/26/2022,8/6/2020,Paid,Quarterly,BILL817410493,882-29-5174,CNT-CDP-9035-841
INVC-54693,7/2/2019,4,3/24/2022,9/9/2020,Paid,Bi-Weekly,BILL128870915,402-49-4219,CNT-CDP-1350-212
INVC-35763,5/8/2020,3,9/15/2022,,Unpaid,Semi-Annually,BILL249312201,446-41-6870,CNT-CDP-0059-008
INVC-94578,4/24/2020,2,1/25/2022,5/28/2021,Paid,Bi-Weekly,BILL797047387,101-47-5339,CNT-CDP-6738-069
INVC-65777,7/8/2019,3,8/7/2022,9/17/2019,Paid,Quarterly,BILL517951638,444-30-5228,CNT-CDP-6342-343
INVC-92370,7/24/2020,4,1/29/2022,12/7/2020,Paid,Monthly,BILL080429867,757-43-9631,CNT-CDP-6833-954
INVC-09379,9/3/2019,2,11/6/2022,9/4/2021,Paid,Semi-Annually,BILL701462145,362-14-3735,CNT-CDP-9195-527
INVC-61315,8/2/2020,3,2/13/2022,,Unpaid,Weekly,BILL151337275,736-72-4628,CNT-CDP-6054-010
INVC-66901,7/25/2020,5,9/27/2022,12/13/2020,Paid,Weekly,BILL591081264,723-38-9797,CNT-CDP-3703-412
INVC-95248,9/9/2021,4,3/6/2022,12/7/2021,Paid,Monthly,BILL274041417,352-17-8089,CNT-CDP-4859-759
INVC-54385,7/14/2020,5,9/16/2022,,Unpaid,Semi-Annually,BILL609998285,653-48-2778,CNT-CDP-2125-864
INVC-73102,8/2/2019,3,8/5/2022,12/15/2021,Paid,Annually,BILL570360818,127-30-0196,CNT-CDP-6110-946
INVC-55932,6/1/2020,4,4/8/2022,,Unpaid,Weekly,BILL487835867,187-61-7881,CNT-CDP-0377-990
INVC-94973,12/26/2021,4,4/4/2022,,Unpaid,Daily,BILL180174044,546-64-8119,CNT-CDP-5029-871
INVC-53806,3/5/2019,5,4/27/2022,,Unpaid,Weekly,BILL629258464,521-61-8005,CNT-CDP-5729-354
INVC-48915,2/4/2021,3,10/9/2022,10/16/2021,Paid,Annually,BILL925832570,296-29-4308,CNT-CDP-3173-410
INVC-20648,12/18/2021,1,2/24/2022,12/19/2021,Paid,Quarterly,BILL295439859,315-09-1557,CNT-CDP-6674-789
INVC-98432,9/24/2019,5,2/13/2022,,Unpaid,Monthly,BILL420098506,660-89-2485,CNT-CDP-6368-860
INVC-21644,6/18/2021,3,5/2/2022,11/27/2021,Paid,Semi-Annually,BILL567703862,611-49-6271,CNT-CDP-5160-021
INVC-04836,1/14/2020,5,9/28/2022,12/19/2021,Paid,Annually,BILL606723634,828-69-1991,CNT-CDP-4229-595
INVC-04157,1/9/2019,4,11/9/2022,,Unpaid,Annually,BILL211067863,795-97-9815,CNT-CDP-1544-181
INVC-38865,10/23/2021,3,12/26/2022,10/31/2021,Paid,Semi-Annually,BILL598100656,207-74-6999,CNT-CDP-8349-877
INVC-64122,12/2/2020,3,1/8/2022,12/29/2021,Paid,Daily,BILL513342630,376-55-9717,CNT-CDP-8986-905
INVC-64720,3/22/2020,5,7/11/2022,10/2/2021,Paid,Semi-Annually,BILL592265451,366-58-7947,CNT-CDP-3811-772
INVC-33371,2/5/2021,4,7/5/2022,9/15/2021,Paid,Semi-Annually,BILL351534881,166-89-9873,CNT-CDP-8773-043
INVC-35633,9/9/2021,2,5/3/2022,,Unpaid,Quarterly,BILL790152454,596-20-8472,CNT-CDP-1701-925
INVC-70192,4/22/2020,4,4/12/2022,12/16/2020,Paid,Monthly,BILL950873751,331-86-5929,CNT-CDP-7771-542
INVC-04336,10/29/2020,2,7/31/2022,,Unpaid,Annually,BILL791742077,276-34-3095,CNT-CDP-2211-144
INVC-22441,5/19/2020,5,7/3/2022,10/27/2021,Paid,Annually,BILL971378781,475-34-2789,CNT-CDP-6382-954
INVC-37434,11/16/2020,4,8/7/2022,9/2/2021,Paid,Weekly,BILL222730981,838-61-7505,CNT-CDP-9229-908
INVC-34705,7/18/2020,4,4/25/2022,11/10/2021,Paid,Daily,BILL778341827,550-28-8283,CNT-CDP-9415-635
INVC-42777,3/29/2021,5,8/10/2022,8/22/2021,Paid,Semi-Annually,BILL247820786,203-33-6926,CNT-CDP-2750-612
INVC-64479,4/9/2021,1,11/2/2022,11/8/2021,Paid,Daily,BILL779894430,380-89-1783,CNT-CDP-2185-653
INVC-30872,5/28/2019,1,4/26/2022,6/3/2020,Paid,Semi-Annually,BILL175753242,294-24-2455,CNT-CDP-4996-479
INVC-12681,2/28/2019,2,10/11/2022,3/13/2021,Paid,Semi-Annually,BILL953074146,266-25-7957,CNT-CDP-2401-771
INVC-87860,9/7/2020,1,12/28/2022,,Unpaid,Daily,BILL347812042,509-47-3199,CNT-CDP-4667-329
INVC-40590,5/19/2019,3,10/20/2022,9/30/2020,Paid,Semi-Annually,BILL630155969,660-92-4797,CNT-CDP-6844-322
INVC-62736,9/6/2019,2,12/24/2022,6/8/2021,Paid,Daily,BILL017244294,325-25-6600,CNT-CDP-0272-472
INVC-79541,12/30/2020,4,7/24/2022,9/8/2021,Paid,Monthly,BILL408152426,872-18-5511,CNT-CDP-8303-782
INVC-28785,1/7/2020,3,1/30/2022,11/28/2021,Paid,Daily,BILL847253217,133-87-1780,CNT-CDP-4874-503
INVC-45253,11/2/2020,1,3/23/2022,8/5/2021,Paid,Daily,BILL516970849,510-21-1344,CNT-CDP-9534-381
INVC-40536,12/16/2019,1,1/19/2022,8/5/2021,Paid,Daily,BILL325516949,520-54-7293,CNT-CDP-8064-734
INVC-06413,7/30/2021,3,10/18/2022,8/31/2021,Paid,Semi-Annually,BILL051949288,352-61-1714,CNT-CDP-7652-991
INVC-41344,9/8/2019,5,12/28/2022,11/13/2019,Paid,Daily,BILL016679712,822-84-5975,CNT-CDP-2895-185
INVC-93180,7/19/2021,2,10/16/2022,10/9/2021,Paid,Annually,BILL865316026,683-18-9050,CNT-CDP-8443-242
INVC-26360,1/16/2021,4,4/17/2022,4/19/2021,Paid,Weekly,BILL208916153,336-58-0750,CNT-CDP-9161-928
INVC-87407,4/26/2021,3,4/24/2022,7/26/2021,Paid,Bi-Weekly,BILL180276788,654-79-4730,CNT-CDP-7460-400
INVC-39028,4/5/2020,4,1/14/2022,3/2/2021,Paid,Bi-Weekly,BILL810181330,819-29-9354,CNT-CDP-5503-729
INVC-97784,6/22/2019,3,7/6/2022,,Unpaid,Annually,BILL326527731,779-38-6747,CNT-CDP-7295-758
INVC-68353,12/5/2020,4,2/23/2022,2/12/2021,Paid,Daily,BILL780030095,642-32-0165,CNT-CDP-2652-622
INVC-68936,5/8/2019,2,5/4/2022,11/4/2020,Paid,Bi-Weekly,BILL760947504,246-27-5053,CNT-CDP-6671-361
INVC-79675,8/27/2020,5,10/20/2022,11/15/2020,Paid,Annually,BILL235806020,233-98-7822,CNT-CDP-9973-546
INVC-46221,10/18/2019,1,4/3/2022,,Unpaid,Daily,BILL761144166,104-86-0759,CNT-CDP-6525-498
INVC-13278,5/15/2021,2,8/27/2022,9/25/2021,Paid,Weekly,BILL801567017,415-20-4014,CNT-CDP-3480-324
INVC-27865,5/30/2021,1,4/28/2022,6/8/2021,Paid,Weekly,BILL612809874,671-48-6104,CNT-CDP-5463-404
INVC-10155,8/29/2021,4,9/20/2022,9/24/2021,Paid,Semi-Annually,BILL902651399,435-89-9247,CNT-CDP-4475-174
INVC-17247,2/1/2019,4,12/4/2022,5/11/2019,Paid,Weekly,BILL189719275,857-89-0757,CNT-CDP-6985-319
INVC-16414,11/29/2020,5,1/31/2022,1/11/2021,Paid,Weekly,BILL979587589,569-03-0198,CNT-CDP-7561-398
INVC-56422,2/17/2020,5,3/18/2022,2/27/2021,Paid,Monthly,BILL433918493,637-48-5747,CNT-CDP-1047-296
INVC-78991,1/20/2020,5,7/8/2022,,Unpaid,Weekly,BILL331542594,194-32-2924,CNT-CDP-4963-721
INVC-56897,1/12/2020,3,4/5/2022,6/7/2020,Paid,Monthly,BILL070074379,316-66-0906,CNT-CDP-8780-023
INVC-48746,6/19/2021,3,8/5/2022,,Unpaid,Monthly,BILL237318002,369-24-9347,CNT-CDP-4289-140
INVC-57593,5/5/2020,2,3/26/2022,12/20/2021,Paid,Bi-Weekly,BILL358888047,653-92-1242,CNT-CDP-0505-907
INVC-62580,12/13/2021,4,10/27/2022,12/27/2021,Paid,Weekly,BILL877911560,512-17-5927,CNT-CDP-6924-543
INVC-15907,4/24/2019,2,2/26/2022,5/13/2019,Paid,Quarterly,BILL808758504,444-86-0266,CNT-CDP-7073-735
INVC-95213,12/11/2020,5,8/22/2022,,Unpaid,Monthly,BILL842096423,582-84-5518,CNT-CDP-0372-592
INVC-98364,5/25/2019,1,9/22/2022,9/18/2019,Paid,Weekly,BILL632483953,146-09-6810,CNT-CDP-2846-703
INVC-64064,12/22/2021,5,3/12/2022,12/29/2021,Paid,Monthly,BILL648382187,852-03-7194,CNT-CDP-7235-800
INVC-35535,5/8/2021,2,2/5/2022,9/30/2021,Paid,Monthly,BILL385030008,197-07-9496,CNT-CDP-3989-355
INVC-58705,7/8/2021,2,5/1/2022,,Unpaid,Weekly,BILL200978419,239-46-5126,CNT-CDP-0494-537
INVC-66158,3/18/2020,3,12/11/2022,,Unpaid,Annually,BILL346055407,550-98-8096,CNT-CDP-8882-532
INVC-57628,7/12/2021,2,9/1/2022,7/20/2021,Paid,Quarterly,BILL826024751,366-76-1690,CNT-CDP-0958-753
INVC-32067,8/18/2019,5,7/9/2022,5/19/2020,Paid,Weekly,BILL024680744,502-44-6250,CNT-CDP-6805-890
INVC-52409,2/26/2021,3,4/10/2022,,Unpaid,Weekly,BILL887749569,430-79-6857,CNT-CDP-2198-359
INVC-09687,1/5/2019,4,3/2/2022,2/4/2019,Paid,Semi-Annually,BILL111672383,463-65-5690,CNT-CDP-0220-379
INVC-93233,6/14/2020,3,9/25/2022,8/16/2020,Paid,Annually,BILL817795059,396-63-4586,CNT-CDP-0991-634
INVC-84802,2/27/2020,3,8/1/2022,10/21/2020,Paid,Daily,BILL912004286,832-05-8450,CNT-CDP-3793-548
INVC-08411,10/27/2019,4,1/25/2022,,Unpaid,Bi-Weekly,BILL985591755,176-84-2096,CNT-CDP-3311-950
INVC-87331,6/14/2021,3,5/16/2022,10/6/2021,Paid,Daily,BILL157033971,339-05-1707,CNT-CDP-9860-126
INVC-90437,5/5/2020,5,9/19/2022,8/26/2021,Paid,Semi-Annually,BILL337723837,742-02-5983,CNT-CDP-6567-876
INVC-77849,3/11/2019,5,7/31/2022,2/1/2021,Paid,Annually,BILL338016882,509-69-6851,CNT-CDP-5984-639
INVC-69471,11/13/2020,5,8/27/2022,,Unpaid,Monthly,BILL634080577,533-53-0787,CNT-CDP-4473-811
INVC-56644,6/7/2021,4,10/22/2022,6/25/2021,Paid,Semi-Annually,BILL876568121,182-13-3034,CNT-CDP-9712-628
INVC-61909,8/17/2021,1,1/10/2022,,Unpaid,Semi-Annually,BILL586746754,408-05-8352,CNT-CDP-7775-181
INVC-73454,8/22/2020,1,11/13/2022,5/29/2021,Paid,Bi-Weekly,BILL809629589,242-51-8631,CNT-CDP-3706-179
INVC-10259,11/30/2021,5,8/31/2022,,Unpaid,Daily,BILL172825646,563-42-6621,CNT-CDP-5333-521
INVC-38742,4/23/2019,5,11/23/2022,7/9/2019,Paid,Semi-Annually,BILL648334275,314-78-8714,CNT-CDP-3673-368
INVC-80705,9/1/2020,1,4/5/2022,12/13/2020,Paid,Bi-Weekly,BILL379963409,202-51-2902,CNT-CDP-1031-556
INVC-92230,8/22/2019,4,5/22/2022,11/10/2021,Paid,Daily,BILL790147864,758-28-3233,CNT-CDP-1813-013
INVC-58831,11/1/2020,4,2/21/2022,,Unpaid,Weekly,BILL716665113,508-50-3138,CNT-CDP-1592-484
INVC-99374,3/1/2021,1,2/7/2022,,Unpaid,Daily,BILL428585177,177-43-9176,CNT-CDP-6795-840
INVC-37456,3/20/2019,2,2/21/2022,,Unpaid,Quarterly,BILL309680543,788-15-9864,CNT-CDP-3722-698
INVC-20631,6/4/2021,4,4/25/2022,8/11/2021,Paid,Quarterly,BILL101794721,884-38-1441,CNT-CDP-8836-480
INVC-19697,1/22/2020,5,7/22/2022,1/18/2021,Paid,Annually,BILL812565961,137-92-1680,CNT-CDP-7379-491
INVC-52314,4/14/2019,1,11/6/2022,,Unpaid,Daily,BILL443023002,726-09-9498,CNT-CDP-8738-058
INVC-24212,2/16/2020,2,8/6/2022,6/26/2021,Paid,Monthly,BILL550197302,490-01-0382,CNT-CDP-3721-916
INVC-26703,5/6/2019,1,11/26/2022,2/8/2020,Paid,Semi-Annually,BILL746861490,253-65-6525,CNT-CDP-0788-637
INVC-43246,9/4/2021,1,4/24/2022,12/5/2021,Paid,Monthly,BILL636157651,349-12-0495,CNT-CDP-3967-969
INVC-94026,10/14/2021,2,2/27/2022,,Unpaid,Annually,BILL137271234,459-31-0706,CNT-CDP-6436-746
INVC-03750,4/9/2021,2,12/19/2022,9/20/2021,Paid,Semi-Annually,BILL866324785,569-56-0173,CNT-CDP-3272-397
INVC-17766,6/10/2021,1,11/28/2022,,Unpaid,Monthly,BILL226323581,803-89-9048,CNT-CDP-5884-809
INVC-67441,11/18/2021,5,9/14/2022,12/29/2021,Paid,Annually,BILL181194801,446-58-0765,CNT-CDP-9726-381
INVC-98807,3/27/2021,2,12/13/2022,4/8/2021,Paid,Semi-Annually,BILL153155321,462-04-0827,CNT-CDP-3714-990
INVC-65326,11/19/2021,2,7/9/2022,,Unpaid,Bi-Weekly,BILL704682977,511-63-3678,CNT-CDP-1272-413
INVC-16673,8/16/2019,1,1/21/2022,3/16/2020,Paid,Weekly,BILL259921276,168-52-1435,CNT-CDP-3274-511
INVC-07875,6/29/2019,1,8/10/2022,,Unpaid,Daily,BILL598666094,159-54-8524,CNT-CDP-4173-398
INVC-10095,4/14/2021,3,6/20/2022,,Unpaid,Daily,BILL099417622,466-92-5767,CNT-CDP-0005-227
INVC-11326,4/24/2020,4,3/23/2022,6/3/2020,Paid,Daily,BILL875331775,511-66-9471,CNT-CDP-5587-142
INVC-61389,7/29/2020,4,3/22/2022,1/21/2021,Paid,Annually,BILL184342115,585-97-5767,CNT-CDP-5264-974
INVC-77599,4/15/2019,3,8/21/2022,11/12/2019,Paid,Monthly,BILL181392626,683-23-9060,CNT-CDP-4581-349
INVC-57275,7/27/2019,5,7/22/2022,,Unpaid,Quarterly,BILL422912125,593-06-9806,CNT-CDP-5554-477
INVC-94913,8/21/2021,5,3/8/2022,9/23/2021,Paid,Annually,BILL769168663,853-48-5719,CNT-CDP-3115-981
INVC-43679,1/8/2019,3,3/16/2022,1/13/2020,Paid,Annually,BILL013480698,442-37-2126,CNT-CDP-8725-713
INVC-57205,12/21/2021,3,5/3/2022,12/22/2021,Paid,Monthly,BILL170235515,821-30-6004,CNT-CDP-0202-625
INVC-86698,11/9/2021,2,10/30/2022,12/19/2021,Paid,Semi-Annually,BILL730245545,352-74-1010,CNT-CDP-7893-229
INVC-24321,6/25/2021,1,7/29/2022,7/6/2021,Paid,Weekly,BILL750431853,215-28-8348,CNT-CDP-5921-425
INVC-10488,7/1/2021,2,12/15/2022,,Unpaid,Semi-Annually,BILL453571338,709-74-7875,CNT-CDP-9092-897
INVC-67242,9/27/2020,4,1/26/2022,9/2/2021,Paid,Daily,BILL114245550,842-64-0009,CNT-CDP-8953-499
